FCODE$,FEMID$,SITE$,Age,FSVLAFTER
,,OR,0.01,29.01
,,CP,0.01,29.01
,,OR,0.01,29.02
,,OR,0.01,29.02
,,OR,0.01,29.02
,,OR,0.01,29.02
,,OR,0.01,29.02
,,CP,0.01,29.02
,,CP,0.01,29.02
,,CP,0.01,29.02
,,CP,0.01,29.02
,,CP,0.01,29.02
,,CP,0.01,29.02
,,OR,0.01,29.03
,,OR,0.01,29.03
,,CP,0.01,29.03
,,CP,0.01,29.03
,,CP,0.01,29.03
,,CP,0.01,29.03
,,CP,0.01,29.03
,,CP,0.01,29.03
,,CP,0.01,29.03
,,CP,0.01,29.03
,,CP,0.01,29.03
,,OR,0.01,29.04
,,OR,0.01,29.04
,,OR,0.01,29.04
,,OR,0.01,29.04
,,OR,0.01,29.04
,,OR,0.01,29.04
,,OR,0.01,29.04
,,OR,0.01,29.04
,,CP,0.01,29.04
,,OR,0.01,29.05
,,OR,0.01,29.05
,,CP,0.01,29.05
,,CP,0.01,29.05
,,CP,0.01,29.05
,,CP,0.01,29.05
,,OR,0.01,29.06
,,OR,0.01,29.06
,,OR,0.01,29.06
,,CP,0.01,29.06
,,CP,0.01,29.06
,,CP,0.01,29.06
,,CP,0.01,29.06
,,CP,0.01,29.06
,,OR,0.01,29.07
,,OR,0.01,29.07
,,OR,0.01,29.07
,,OR,0.01,29.07
,,OR,0.01,29.07
,,CP,0.01,29.07
,,CP,0.01,29.07
,,CP,0.01,29.07
,,CP,0.01,29.07
,,CP,0.01,29.07
,,OR,0.01,29.08
,,OR,0.01,29.08
,,OR,0.01,29.08
,,OR,0.01,29.08
,,CP,0.01,29.08
,,OR,0.01,29.09
,,OR,0.01,29.09
,,OR,0.01,29.09
,,OR,0.01,29.09
,,OR,0.01,29.09
,,CP,0.01,29.09
,,CP,0.01,29.09
,,OR,0.01,29.1
,,OR,0.01,29.1
,,OR,0.01,29.1
,,OR,0.01,29.1
,,OR,0.01,29.1
,,OR,0.01,29.1
,,CP,0.01,29.1
,,CP,0.01,29.1
,,CP,0.01,29.1
,,CP,0.01,29.1
,,CP,0.01,29.1
,,CP,0.01,29.1
,,CP,0.01,29.1
,,OR,0.01,29.11
,,OR,0.01,29.11
,,CP,0.01,29.11
,,CP,0.01,29.11
,,CP,0.01,29.11
,,CP,0.01,29.11
,,OR,0.01,29.12
,,OR,0.01,29.12
,,OR,0.01,29.12
,,OR,0.01,29.12
,,OR,0.01,29.12
,,CP,0.01,29.12
,,CP,0.01,29.12
,,CP,0.01,29.12
,,OR,0.01,29.13
,,OR,0.01,29.13
,,OR,0.01,29.13
,,OR,0.01,29.13
,,OR,0.01,29.13
,,OR,0.01,29.13
,,CP,0.01,29.13
,,CP,0.01,29.13
,,CP,0.01,29.13
,,CP,0.01,29.13
,,OR,0.01,29.14
,,OR,0.01,29.14
,,OR,0.01,29.14
,,OR,0.01,29.14
,,OR,0.01,29.14
,,OR,0.01,29.14
,,CP,0.01,29.14
,,CP,0.01,29.14
,,CP,0.01,29.14
,,CP,0.01,29.14
,,CP,0.01,29.14
,,CP,0.01,29.14
,,OR,0.01,29.15
,,OR,0.01,29.15
,,OR,0.01,29.15
,,OR,0.01,29.15
,,OR,0.01,29.15
,,OR,0.01,29.15
,,OR,0.01,29.15
,,OR,0.01,29.15
,,CP,0.01,29.15
,,CP,0.01,29.15
,,CP,0.01,29.15
,,CP,0.01,29.15
,,CP,0.01,29.15
,,OR,0.01,29.16
,,OR,0.01,29.16
,,OR,0.01,29.16
,,OR,0.01,29.16
,,CP,0.01,29.16
,,CP,0.01,29.16
,,CP,0.01,29.16
,,CP,0.01,29.16
,,OR,0.01,29.17
