FCODE$,FEMID$,SITE$,Age,FSVLAFTER
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
0000,1405,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
0000,1427,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
5000,1649,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
4035,734,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
Feb-03,816,OR,.,.
1/21/300,208,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
011/30,722,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
0333,736,OR,.,.
001/32,813,OR,.,.
0002/4,730,OR,.,.
001/31/2,732,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,OR,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
.,.,CP,.,.
